"RV56: DEATHS by Year, Cause of death by ICD-10, Sex and Age group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age groups total,0,1,2,3,4,0-4,1-4,5-9,10-14,0-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,15-49,50-54,55-59,60-64,15-64,65 and older,65-69,70-74,75-79,80-84,85 and older,85-89,90-94,95-99,100 and older,Age unknown
,,Females,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,..,..,..,..,0
,..sepsis (A40-A41),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,..viral hepatitis(B20-B24),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,..HIV-disease (B20-B24),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Neoplasms (C00-D48),Males and females,3296,1,3,2,4,1,11,10,6,9,26,10,11,22,27,55,82,166,373,269,413,583,1638,1631,471,364,449,236,111,..,..,..,..,1
,,Males,1754,1,0,0,3,0,4,3,4,5,13,5,4,10,12,27,41,100,199,156,251,373,979,761,260,185,194,90,32,..,..,..,..,1
,,Females,1542,0,3,2,1,1,7,7,2,4,13,5,7,12,15,28,41,66,174,113,162,210,659,870,211,179,255,146,79,..,..,..,..,0
,..malignant neoplasms (C00-C97),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"....malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....malignant neoplasm of oesophagus (C15),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....malignant neoplasm of stomach (C16),Males and females,495,0,0,0,0,0,0,0,0,0,0,0,1,2,3,11,15,17,49,37,41,87,214,281,70,66,78,47,20,..,..,..,..,0
,,Males,266,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,7,10,26,20,31,55,132,134,38,32,38,19,7,..,..,..,..,0
,,Females,229,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,8,7,23,17,10,32,82,147,32,34,40,28,13,..,..,..,..,0
,"....malignant neoplasm of colon and rectosigmoid junction (C18, C19)",Males and females,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,10,12,20,24,66,113,21,30,32,23,7,..,..,..,..,0
,,Males,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,6,10,23,37,10,10,9,6,2,..,..,..,..,0
,,Females,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,8,14,14,43,76,11,20,23,17,5,..,..,..,..,0
,......malignant neoplasm of colon (C18),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,......malignant neoplasm of colon and rectosigmoid junction (C19),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"....malignant neoplasm of rectum and anus (C20, C21)",Males and females,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,10,23,44,91,26,22,23,14,6,..,..,..,..,0
,,Males,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,6,14,28,48,16,12,7,9,4,..,..,..,..,0
,,Females,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,16,43,10,10,16,5,2,..,..,..,..,0
,....malignant neoplasm of liver and intrahepatic bile ducts (C22),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....malignant neoplasm of pancreas (C25),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....malignant neoplasms of respiratory organs (C30-39),Males and females,24,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4,5,3,2,14,10,4,0,2,3,1,..,..,..,..,0
,,Males,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,5,2,0,9,5,2,0,2,1,0,..,..,..,..,0
,,Females,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,2,5,5,2,0,0,2,1,..,..,..,..,0
,"......malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)",Males and females,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,36,48,61,123,191,423,271,96,74,73,19,9,..,..,..,..,1
,,Males,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,32,43,54,103,168,368,207,76,58,56,12,5,..,..,..,..,1
,,Females,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,7,20,23,55,64,20,16,17,7,4,..,..,..,..,0
,....malignant melanoma of skin (C43),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....malignant neoplasm of breast (C50),Males and females,220,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,8,16,39,26,36,29,130,90,29,16,28,10,7,..,..,..,..,0
,,Males,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,..,..,..,..,0
,,Females,219,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,8,16,39,26,36,29,130,89,29,16,28,10,6,..,..,..,..,0
,....malignant neoplasm of cervix uteri (C53),Males and females,83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,9,18,7,9,8,42,41,12,7,6,12,4,..,..,..,..,0
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,9,18,7,9,8,42,41,12,7,6,12,4,..,..,..,..,0
,"....malignant neoplasm of other parts of uterus (C54, C55)",Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....malignant neoplasm of ovary (C56),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....malignant neoplasm of prostate (C61),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....malignant neopsasm of kidney (C64),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....malignant neoplasm of bladder (C67),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....malignant neoplasms of lymphoid/haemotopoietic tissue (C81-C96),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,......leukemia (C91-C95),Males and females,96,0,1,0,0,0,1,1,2,3,6,1,1,6,4,2,4,6,24,4,8,8,44,46,10,10,13,11,2,..,..,..,..,0
,,Males,57,0,0,0,0,0,0,0,1,1,2,0,1,3,2,2,2,4,14,3,6,5,28,27,6,5,9,6,1,..,..,..,..,0
,,Females,39,0,1,0,0,0,1,1,1,2,4,1,0,3,2,0,2,2,10,1,2,3,16,19,4,5,4,5,1,..,..,..,..,0
,"Endocrine, nutritional and metabolic diseases (E00-E90)",Males and females,114,1,0,1,0,0,2,1,0,0,2,2,2,8,4,2,6,7,31,7,16,17,71,41,16,9,11,3,2,..,..,..,..,0
,,Males,40,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,3,5,16,3,4,8,31,9,3,3,3,0,0,..,..,..,..,0
,,Females,74,1,0,1,0,0,2,1,0,0,2,0,0,8,2,0,3,2,15,4,12,9,40,32,13,6,8,3,2,..,..,..,..,0
,..diabetes mellitus (E10-E14),Males and females,87,0,0,0,0,0,0,0,0,0,0,2,1,8,4,0,3,4,22,5,11,16,54,33,14,7,8,2,2,..,..,..,..,0
,,Males,30,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,2,3,10,2,2,8,22,8,3,2,3,0,0,..,..,..,..,0
,,Females,57,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,1,12,3,9,8,32,25,11,5,5,2,2,..,..,..,..,0
,Diseases of the blood and blood-forming organs (D50-D89),Males and females,24,1,0,1,0,0,2,1,0,0,2,3,0,0,0,0,0,2,5,2,3,3,13,9,2,3,3,1,0,..,..,..,..,0
,,Males,7,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,3,1,1,0,5,1,0,0,0,1,0,..,..,..,..,0
,,Females,17,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,2,1,2,3,8,8,2,3,3,0,0,..,..,..,..,0
,..anaemia (D50-D64),Males and females,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,5,8,1,3,3,1,0,..,..,..,..,0
,,Males,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,..,..,..,..,0
,,Females,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,5,7,1,3,3,0,0,..,..,..,..,0
,"Mental, behavioural disorders (F00-F99)",Males and females,16,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,2,6,3,1,1,11,4,1,0,1,2,0,..,..,..,..,0
,,Males,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,2,0,0,6,2,1,0,0,1,0,..,..,..,..,0
,,Females,8,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,1,1,1,5,2,0,0,1,1,0,..,..,..,..,0
,..mental and behavioural disorders due to use of alcohol (F10),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"..drug dependence and toxicomania (F11-F16, F18, F19)",Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Diseases of the nervous system and sense organs (G00-H95),Males and females,138,15,5,3,1,0,24,9,4,0,28,5,6,7,5,8,10,10,51,14,22,10,97,12,2,5,2,3,0,..,..,..,..,1
,,Males,92,8,4,2,1,0,15,7,3,0,18,4,5,4,3,5,7,8,36,11,14,5,66,7,1,1,2,3,0,..,..,..,..,1
,,Females,46,7,1,1,0,0,9,2,1,0,10,1,1,3,2,3,3,2,15,3,8,5,31,5,1,4,0,0,0,..,..,..,..,0
,..meningitis (G00-G03),Males and females,11,5,1,1,0,0,7,2,0,0,7,0,0,0,0,0,1,1,2,0,1,0,3,0,0,0,0,0,0,..,..,..,..,1
,,Males,9,3,1,1,0,0,5,2,0,0,5,0,0,0,0,0,1,1,2,0,1,0,3,0,0,0,0,0,0,..,..,..,..,1
,,Females,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,Diseases of the circulatory system (I00-I99),Males and females,11400,2,0,0,0,0,2,0,2,2,6,9,7,13,37,65,109,203,443,347,557,833,2180,9211,954,1218,2082,2310,2647,..,..,..,..,3
,,Males,4526,0,0,0,0,0,0,0,2,1,3,6,4,8,32,54,81,156,341,274,383,510,1508,3013,467,529,759,687,571,..,..,..,..,2
,,Females,6874,2,0,0,0,0,2,0,0,1,3,3,3,5,5,11,28,47,102,73,174,323,672,6198,487,689,1323,1623,2076,..,..,..,..,1
,..chronic rheumatic heart diseases (I05-I09),Males and females,88,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,9,19,10,15,20,64,24,9,8,5,2,0,..,..,..,..,0
,,Males,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,8,5,4,8,25,5,3,2,0,0,0,..,..,..,..,0
,,Females,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,11,5,11,12,39,19,6,6,5,2,0,..,..,..,..,0
,..hypertensive diseases (I10-I15),Males and females,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,8,9,13,8,38,66,16,10,14,18,8,..,..,..,..,0
,,Males,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,6,11,2,24,27,7,6,8,6,0,..,..,..,..,0
,,Females,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,2,6,14,39,9,4,6,12,8,..,..,..,..,0
,..ischaemic heart diseases (I20-I25),Males and females,7271,0,0,0,0,0,0,0,0,0,0,1,4,5,18,38,59,117,242,221,329,502,1294,5975,581,745,1288,1495,1866,..,..,..,..,2
,,Males,3054,0,0,0,0,0,0,0,0,0,0,1,3,4,16,37,52,102,215,187,255,338,995,2058,316,320,524,487,411,..,..,..,..,1
,,Females,4217,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,7,15,27,34,74,164,299,3917,265,425,764,1008,1455,..,..,..,..,1
,..acute myocardial infarction (I21-I22),Males and females,604,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,22,19,54,43,78,92,267,337,75,68,115,56,23,..,..,..,..,0
,,Males,346,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,18,16,44,35,64,62,205,141,41,26,52,17,5,..,..,..,..,0
,,Females,258,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,3,10,8,14,30,62,196,34,42,63,39,18,..,..,..,..,0
,"..other cardiovascular diseases (except rheumatic heart and valvular diseases) (I30-I33, I39-I52)",Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,..cerebrovascular diseases (I60-I69),Males and females,3473,0,0,0,0,0,0,0,0,0,0,4,0,4,7,15,29,48,107,79,152,242,580,2893,304,398,724,744,723,..,..,..,..,0
,,Males,1133,0,0,0,0,0,0,0,0,0,0,2,0,1,6,9,16,30,64,49,83,124,320,813,120,164,201,180,148,..,..,..,..,0
,,Females,2340,0,0,0,0,0,0,0,0,0,0,2,0,3,1,6,13,18,43,30,69,118,260,2080,184,234,523,564,575,..,..,..,..,0
,"Diseases of the respiratory system (J00-J99, U07)",Males and females,475,30,4,1,0,0,35,5,1,1,37,1,4,6,6,8,12,29,66,31,46,58,201,237,61,47,58,46,25,..,..,..,..,0
,,Males,306,21,2,0,0,0,23,2,1,1,25,1,1,4,5,6,9,17,43,24,36,42,145,136,41,29,30,27,9,..,..,..,..,0
,,Females,169,9,2,1,0,0,12,3,0,0,12,0,3,2,1,2,3,12,23,7,10,16,56,101,20,18,28,19,16,..,..,..,..,0
,..COVID-19 (U07),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,..influenza (J10-J11),Males and females,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,..,..,..,..,0
,,Males,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,..,..,..,..,0
,,Females,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,..,..,..,..,0
,..pneumonia (J12-J18),Males and females,100,22,1,0,0,0,23,1,0,1,24,0,2,4,2,3,6,5,22,7,9,8,46,30,9,4,6,6,5,..,..,..,..,0
,,Males,64,15,0,0,0,0,15,0,0,1,16,0,0,3,2,3,4,2,14,6,8,4,32,16,8,2,3,3,0,..,..,..,..,0
,,Females,36,7,1,0,0,0,8,1,0,0,8,0,2,1,0,0,2,3,8,1,1,4,14,14,1,2,3,3,5,..,..,..,..,0
,..chronic lower respiratory diseases (J40-J47),Males and females,268,0,0,1,0,0,1,1,0,0,1,0,1,2,3,4,3,12,25,15,23,40,103,164,39,36,41,32,16,..,..,..,..,0
,,Males,168,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,6,13,11,18,32,74,94,24,20,21,20,9,..,..,..,..,0
,,Females,100,0,0,1,0,0,1,1,0,0,1,0,1,1,1,2,1,6,12,4,5,8,29,70,15,16,20,12,7,..,..,..,..,0
,....asthma (J45-J46),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Diseases of the digestive system (K00-K93),Males and females,433,1,1,0,0,1,3,2,0,0,3,1,2,1,6,14,11,21,56,37,39,35,167,263,46,52,69,45,51,..,..,..,..,0
,,Males,214,1,1,0,0,1,3,2,0,0,3,1,2,1,6,12,9,17,48,24,27,19,118,93,17,24,29,11,12,..,..,..,..,0
,,Females,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,8,13,12,16,49,170,29,28,40,34,39,..,..,..,..,0
,"..ulcer of stomach, duodenum and jejunum (K25-K28)",Males and females,74,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,15,10,7,6,38,36,6,4,11,6,9,..,..,..,..,0
,,Males,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,14,7,7,3,31,20,5,2,7,3,3,..,..,..,..,0
,,Females,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,7,16,1,2,4,3,6,..,..,..,..,0
,"..chronic liver disease (K70, K73, K74)",Males and females,86,0,0,0,0,1,1,1,0,0,1,0,0,1,1,3,2,8,15,9,13,9,46,39,14,14,4,4,3,..,..,..,..,0
,,Males,50,0,0,0,0,1,1,1,0,0,1,0,0,1,1,2,2,7,13,6,8,4,31,18,5,7,3,2,1,..,..,..,..,0
,,Females,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,5,5,15,21,9,7,1,2,2,..,..,..,..,0
,....alcoholic liver disease (K70),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
